cod;nome;período;valor
4314902;43;2003;402
5208707;52;2003;319
2408102;24;2003;138
3106200;31;2003;1106
2927408;29;2003;686
3304557;33;2003;3056
1600303;16;2003;132
1501402;15;2003;358
3205309;32;2003;169
2211001;22;2003;183
2111300;21;2003;242
1721000;17;2003;38
4106902;41;2003;479
2611606;26;2003;970
1302603;13;2003;443
1200401;12;2003;96
1200401;12;2004;82
2800308;28;2004;164
2304400;23;2004;582
5103403;51;2004;218
2507507;25;2004;207
1501402;15;2004;325
2704302;27;2004;494
5208707;52;2004;327
5002704;50;2004;210
5300108;53;2004;696
3304557;33;2004;2993
1400100;14;2004;60
4314902;43;2004;437
3106200;31;2004;1219
2611606;26;2004;964
1600303;16;2004;119
1721000;17;2004;35
1100205;11;2004;242
2111300;21;2004;270
4205407;42;2004;109
2927408;29;2004;723
1302603;13;2004;404
4106902;41;2004;591
2211001;22;2004;157
3550308;35;2004;4048
3205309;32;2004;187
2408102;24;2004;94
2304400;23;2005;733
2611606;26;2005;1002
2507507;25;2005;261
5300108;53;2005;657
5002704;50;2005;199
3106200;31;2005;1076
4106902;41;2005;661
2704302;27;2005;573
1200401;12;2005;65
1600303;16;2005;129
2408102;24;2005;134
3550308;35;2005;2925
5208707;52;2005;340
2800308;28;2005;157
1100205;11;2005;203
4205407;42;2005;90
1400100;14;2005;59
5103403;51;2005;226
3304557;33;2005;2515
1501402;15;2005;484
3205309;32;2005;194
4314902;43;2005;485
1302603;13;2005;477
2211001;22;2005;201
2111300;21;2005;235
2927408;29;2005;1051
1721000;17;2005;23
2800308;28;2006;185
1100205;11;2006;236
3304557;33;2006;2735
2111300;21;2006;271
1400100;14;2006;56
4205407;42;2006;71
2408102;24;2006;149
1302603;13;2006;528
2927408;29;2006;1113
1600303;16;2006;125
5300108;53;2006;660
5002704;50;2006;197
1200401;12;2006;109
5208707;52;2006;322
1721000;17;2006;25
2704302;27;2006;789
3205309;32;2006;210
4106902;41;2006;715
2304400;23;2006;754
2507507;25;2006;263
2211001;22;2006;231
5103403;51;2006;222
1501402;15;2006;482
2611606;26;2006;1049
3550308;35;2006;2685
4314902;43;2006;436
3106200;31;2006;975
3550308;35;2007;2067
2927408;29;2007;1314
3106200;31;2007;1048
2211001;22;2007;183
1200401;12;2007;95
1302603;13;2007;556
5300108;53;2007;711
1400100;14;2007;65
4314902;43;2007;581
